id,prefix_code,sku,name,featured_image,brand,unit,channel,category,cbm,moq,cost_price,ps_overal_dimension,ps_arm_height,ps_seat_height,ps_seat_depth,ps_nett_weight,ps_gross_weight,ps_product_type,ps_seat_construction,ps_box_dimension,ps_box_weight,ps_pax,ps_20ft_container,ps_40gp_container,ps_40hq_container,shop_drawing_pdf,shop_drawing_archive,production_drawing_pdf,production_drawing_archive,assembly_pdf,assembly_archive,drawing_3d_dwg,drawing_3d_obj,drawing_3d_3dmax,drawing_3d_sketchup,seo_meta_title,seo_meta_description,seo_meta_keyword,seo_content_overview,created_at,updated_at,status
731,NO,CPBRIE-OT,Brie Ottoman Cushion,,,1,,10,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-27 04:51:56,2023-01-27 10:16:04,EN
730,NO,CPBRIE-C,Brie Corner Sofa Cushion,,,1,,10,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-27 04:51:56,2023-01-27 10:16:04,EN
729,NO,CPBRIE-02M,Brie 2 Seater Sofa Middle Cushion,,,1,,10,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-27 04:51:56,2023-01-27 10:16:04,EN
728,NO,CPBRIE-02R,Brie 2 Seater Sofa Right Arm Cushion,,,1,,10,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-27 04:51:55,2023-01-27 10:16:04,EN
727,NO,CPBRIE-02L,Brie 2 Seater Sofa Left Arm Cushion,,,1,,10,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-27 04:51:55,2023-01-27 10:16:04,EN
726,NO,CPBRIE-03,Brie 3 Seater Sofa Cushion,,,1,,10,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-27 04:51:55,2023-01-27 10:16:04,EN
725,NO,CPBRIE-02,Brie 2 Seater Sofa Cushion,,,1,,10,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-27 04:51:55,2023-01-27 10:16:04,EN
724,NO,CPBRIE-01,Brie Single Seater Sofa Cushion,,,1,,10,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-27 04:51:55,2023-01-27 10:16:04,EN
723,NO,CPTIMO-01,Timo Single Seater Cushion,image/featured_image_global/63bf7076392f5493577123.jpg,,1,,10,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-27 04:51:55,2023-01-27 10:16:05,EN
722,NO,CPTIMO-06,Timo Ottoman Cushion,image/featured_image_global/63c0cb61c2781015107800.jpg,,1,,10,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-27 04:51:55,2023-01-27 10:16:05,EN
