id,prefix_code,sku,name,featured_image,brand,unit,channel,category,cbm,moq,cost_price,ps_overal_dimension,ps_arm_height,ps_seat_height,ps_seat_depth,ps_nett_weight,ps_gross_weight,ps_product_type,ps_seat_construction,ps_box_dimension,ps_box_weight,ps_pax,ps_20ft_container,ps_40gp_container,ps_40hq_container,shop_drawing_pdf,shop_drawing_archive,production_drawing_pdf,production_drawing_archive,assembly_pdf,assembly_archive,drawing_3d_dwg,drawing_3d_obj,drawing_3d_3dmax,drawing_3d_sketchup,seo_meta_title,seo_meta_description,seo_meta_keyword,seo_content_overview,created_at,updated_at
1,NO,NKS-28,Grace Dining Armchair,image/featured_image_global/5ee6efec56142112780245.jpg,,1,,,0.32,50,,58.5 x 67.5 x 82 cm,68,44,51,,10,Fully Assembled,Webbing,58.5 x 67.5 x 82 cm,,1 Pc/1Ctn,92 pcs,192 pcs,216 pcs,,,,,,,,,,,,,,,2023-01-26 05:02:44,2023-01-26 05:37:16
2,NO,NKS-11,Grace Single Seater,,,1,,,0.62,20,,78 x 88 x 72.5 cm,56.8,45.5,69.5,,18,Fully Assembled,Webbing,85 x 91 x 80 cm,,1 Pc/1Ctn,28 pcs,60 pcs,90 pcs,,,,,,,,,,,,,,,2023-01-26 05:02:44,2023-01-26 05:37:16
3,NO,NKS-18,Grace Dining Side Chair,,,1,,,0.36,50,,47.5 x 62 x 91 cm,,44,46,,9,Fully Assembled,Webbing,59 x 64 x 96 cm,,1 Pc/1Ctn,72 pcs,144 pcs,160 pcs,,,,,,,,,,,,,,,2023-01-26 05:02:44,2023-01-26 05:37:16
4,NO,NKS-12,Grace 2 Seater,,,1,,,1.08,10,,143 x 88 x 72.5 cm,56.8,45.5,69.5,,26,Fully Assembled,Webbing,146 x 94 x 79 cm,,1 Pc/1Ctn,26 pcs,52 pcs,61 pcs,,,,,,,,,,,,,,,2023-01-26 05:02:44,2023-01-26 05:37:16
5,NO,NKS-13,Grace 3 Seater,,,1,,,1.53,10,,202  x 88 x 72.5 cm,56.8,45.5,69.5,,32,Fully Assembled,Webbing,206 x 94 x 79 cm,,1 Pc/1Ctn,18 pcs,36 pcs,42 pcs,,,,,,,,,,,,,,,2023-01-26 05:02:44,2023-01-26 05:37:16
6,NO,NKS-27-L,Grace Daybed Left,,,1,,,1.16,5,,77.5 x 170 x 77 cm,,,,,23,Fully Assembled,Webbing,80 x 173 x 84 cm,,1 Pc/1Ctn,14 pcs,30 pcs,45 pcs,,,,,,,,,,,,,,,2023-01-26 05:02:44,2023-01-26 05:37:16
7,NO,NKS-27-R,Grace Daybed Right,,,1,,,1.16,5,,77.5 x 170 x 77 cm,,,,,23,Fully Assembled,Webbing,80 x 173 x 84 cm,,1 Pc/1Ctn,14 pcs,30 pcs,45 pcs,,,,,,,,,,,,,,,2023-01-26 05:02:44,2023-01-26 05:37:16
8,NO,NKS-07,Monaco Dining Armchair Square,,,1,,,0.43,50,,64 x 65 x 86 cm,,,,,,Fully Assembled,Webbing,67 x 69 x 92 cm,,1 Pc/1Ctn,54 pcs,117 pcs,156 pcs,,,,,,,,,,,,,,,2023-01-26 05:02:44,2023-01-26 05:37:16
9,NO,NKS-01,Monaco Single Seater,,,1,,,0.79,20,,92 x 95 x 73 cm,54,40.5,76,,22,Fully Assembled,Webbing,97 x 101 x 81 cm,,1 Pc/1Ctn,28 pcs,56 pcs,72 pcs,,,,,,,,,,,,,,,2023-01-26 05:02:44,2023-01-26 05:37:16
10,NO,NKS-02,Monaco 2 Seater,,,1,,,1.3,10,,153 x 95 x 73 cm,54,40.5,76,,32,Fully Assembled,Webbing,159 x 101 x 81 cm,,1 Pc/1Ctn,14 pcs,30 pcs,45 pcs,,,,,,,,,,,,,,,2023-01-26 05:02:44,2023-01-26 05:37:16
11,NO,NKS-03,Monaco 3 Seater,,,1,,,1.76,10,,212  x 98 x 73 cm,54,40.5,76,,42,Fully Assembled,Webbing,218 x 101 x 80 cm,,1 Pc/1Ctn,14 pcs,30 pcs,35 pcs,,,,,,,,,,,,,,,2023-01-26 05:02:44,2023-01-26 05:37:16
12,NO,NKS-10,Monaco Foot Stool,,,1,,,0.3,20,,65 x 65 x 30 cm,,,,35.8,10,Fully Assembled,Webbing,98 x 98 x 35 cm,,1 Pc/1Ctn,86 pcs,184 pcs,208 pcs,,,,,,,,,,,,,,,2023-01-26 05:02:44,2023-01-26 05:37:16
13,NO,BB-230VG,Vinegard Backless Bench 230,,,1,,,0.16,10,,230  x  40  x  45 cm,,,,26.5,38.75,Assembly Required,,233 x 43 x 13 cm,,1 Pc/1Ctn,244 pcs,501 pcs,560 pcs,,,,,,,,,,,,,,,2023-01-26 05:02:44,2023-01-26 05:37:16
14,NO,BB-300VG,Vinegard Backless Bench 300,,,1,,,0.17,10,,300  x  40  x  45 cm,,,,8.11,29,Assembly Required,,303 x 43 x 13 cm,,1 Pc/1Ctn,95 pcs,285 pcs,324 pcs,,,,,,,,,,,,,,,2023-01-26 05:02:44,2023-01-26 05:37:16
15,NO,DT-230VG,Vinegard Dining Table 230,,,1,,,0.51,10,,230  x  100  x  75 cm,,,,56,85.34,Assembly Required,,238 x 108 x 20 cm,,1 Pc/1Ctn,59 pcs,121 pcs,130 pcs,,,,,,,,,,,,,,,2023-01-26 05:02:44,2023-01-26 05:37:16
16,NO,DT-300VG,Vinegard Dining Table 300,,,1,,,0.63,10,,300  x  100  x  75 cm,,,,20,60,Assembly Required,,308 x 108 x 19 cm,,1 Pc/1Ctn,26 pcs,78 pcs,90 pcs,,,,,,,,,,,,,,,2023-01-26 05:02:44,2023-01-26 05:37:16
17,NO,NKS-04,Vinegard Recycled Coffee Table,,,1,,,0.21,10,,140  x  80  x  40 cm,,,,10,22,Assembly Required,,147 x 87 x 16 cm,,1 Pc/1Ctn,152 pcs,317 pcs,356 pcs,,,,,,,,,,,,,,,2023-01-26 05:02:44,2023-01-26 05:37:16
18,NO,NKS-05,Vinegard Recycled Side Table,,,1,,,0.05,1,,50  x  50  x  50 cm,,,,,12,Assembly Required,,53 x 53 x 20 cm,,1 Pc/1Ctn,548 pcs,1136 pcs,1310 pcs,,,,,,,,,,,,,,,2023-01-26 05:02:44,2023-01-26 05:37:16
19,NO,COR-01,Corda Single Seater,,,1,,,0.49,50,,77 x 80 x 61 cm,61,38,78,13,18,Fully Assembled,Webbing/Slatted,84 x 87 x 67 cm,,1 Pc/1Ctn,54pcs,110 pcs,152 pcs,,,,,,,,,,,,,,,2023-01-26 05:02:44,2023-01-26 05:37:16
20,NO,OVA-AC,Orva Stacking Arm Chair,,,1,,,0.15,50,,56.5 x 59 x 86.5 cm,,,,,,Assembly Required,Slatted,59 x 90 x 111 cm,,4 Pc/1Ctn,52 pcs,106 pcs,106 pcs,,,,,,,,,,,,,,,2023-01-26 05:02:44,2023-01-26 05:37:16
21,NO,SVE-01,Suave Single Seater,,,1,,,0.21,10,,86 x 83.2 x 81 cm,66.5,41.5,79.2,,25.5,Assembly Required,,90 x 85 x 28 cm,,1 Pc/1Ctn,132 pcs,280 pcs,333 pcs,,,,,,,,,,,,,,,2023-01-26 05:02:44,2023-01-26 05:37:16
22,NO,COR-04,Corda Dining Armchair,,,1,,,0.33,100,,60 x 61 x 73cm,73,48,56.5,11,13,Fully Assembled,Webbing/Slatted,65 x 65 x 78 cm,,1 Pc/1Ctn,81 pcs,162 pcs,216 pcs,,,,,,,,,,,,,,,2023-01-26 05:02:44,2023-01-26 05:37:16
23,NO,BT-01-TK,Golyam Round Bistro Table,,,1,,,0.16,20,,80 x  80  x  75 cm,,,,,24,Knock Down,,87 x 87 x 21 cm,,1 Pc/1Ctn,180 pcs,376 pcs,447 pcs,,,,,,,,,,,,,,,2023-01-26 05:02:44,2023-01-26 05:37:16
24,NO,BT-03-TK,Fort Square Bistro Table,,,1,,,0.23,20,,80  x 80  x  75 cm,,,,,8,Assembly Required,,126 x 87 x 21 cm,,1 Pc/1Ctn,132 pcs,276 pcs,312 pcs,,,,,,,,,,,,,,,2023-01-26 05:02:44,2023-01-26 05:37:16
26,NO,COR-02,Corda Lounge 2 Seater,,,1,,,0.89,25,,146 x 80 x 61 cm,61,38,78,,24.69,Fully Assembled,Webbing/Slatted,153 x 87 x 67 cm,,1 Pc/1Ctn,27 pcs,56 pcs,77 pcs,,,,,,,,,,,,,,,2023-01-26 05:02:44,2023-01-26 05:37:16
